"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"","STRATEGIC","Growth","Evaluate D2C bundling strategy","Bundle options: (1) Starter Ritual: hair oil + 1 bath salt = Rs.849 vs Rs.898 separate (saving Rs.49). (2) Complete Ritual: hair oil + 2 bath salts = Rs.1,099 vs Rs.1,197 separate. (3) Gift Ritual: same as Complete Ritual in gift box = Rs.1,299.","Bundles increase AOV by 25-40% without increasing CAC. Test from Day 150.","HIGH","P5","Day 120-150","-","-","-","Marketing + Finance"
"","PRODUCT","Label","Write right-panel label text — 3 sections","Section 1 (Natural Scent): 'Svaaskriti carries the authentic fragrance of 61 wild-harvested herbs and cold-pressed oils. No synthetic fragrance. No masking agents. This is what real nourishment smells like.' Section 2 (Natural Ingredients): 'Every ingredient in Svaaskriti is plant-derived, responsibly sourced, and chosen for what it gives your hair — not for how it looks on a label.' Section 3 (No Synthetic Fragrance): 'We believe your hair deserves honesty. Svaaskriti contains no parabens, no sulphates, no mineral oil, no synthetic fragrance. Just 61 ingredients that have nourished hair for centuries.'","These 3 sections replace the Lorem ipsum placeholder on the current label. Founder must approve final wording before label goes to print.","CRITICAL","P2","Day 28-35","-","-","-","Founder + Oodles"
"","PRODUCT","Label","Prepare complete INCI ingredient list in descending order","From MFR: rank all 61+ ingredients by their percentage in the formula (descending order by weight). Write in INCI format (International Nomenclature Cosmetic Ingredient). This is the legal requirement for the back label.","INCI names are the international standard. Example: Cocos Nucifera (Coconut) Oil, Sesamum Indicum (Sesame) Seed Oil. Your regulatory consultant can confirm INCI names for rare Indian ingredients.","CRITICAL","P2","Day 35-49","-","Rs.2000","Rs.3000","QP + Regulatory"
"","PRODUCT","Pricing","Survey 20 target customers on price expectation","Show product (or photo of packaging) to 20 people who match Persona 1 or 2. Ask: what price would you expect to pay for this? What price would make you think it is too cheap? What price would make you hesitate? Average the responses and map to pricing scenarios.","Price expectation surveys remove guesswork. 20 responses take 2 hours to collect and protect months of revenue.","CRITICAL","P2","Day 35-56","-","-","-","Founder"
"","PRODUCT","Gate","Apply 4-question product gate to every future SKU before launch decision","Before any product enters the active development pipeline: answer: (1) Does it improve AOV? (2) Does it improve gifting opportunity? (3) Does it improve customer retention? (4) Does it have a genuine ritual story? Minimum 2 of 4 = YES to proceed. Log the gate result in the Innovation Pipeline sheet.","This gate is the anti-bloat mechanism. It keeps the product portfolio purposeful.","HIGH","ONGOING","Per new product","-","-","-","Founder"
"","PRODUCT","Roadmap","Formal product roadmap review every 6 months","Review the product roadmap against: actual customer feedback (what are they asking for?), actual channel needs (does retail want more SKUs?), actual financial capacity (can we absorb new SKU COGS?), actual manufacturing capacity. Update launch phase for each product in the roadmap.","Product roadmap without a review cycle becomes a wish list. A reviewed roadmap is a strategic plan.","HIGH","ONGOING","6-monthly","-","-","-","Founder + Product"
"","PACKAGING","Operations","Create packaging inventory tracker with reorder alerts","Google Sheet: each packaging component (bottle, cap, label, carton, insert, bath salt jar, gift box). Columns: component, unit, qty on hand, reorder point, reorder qty, supplier, lead time, last order date. Set reorder point at 6 weeks of projected consumption.","Running out of labels is as catastrophic as running out of ingredients. Packaging lead times are 2-4 weeks.","HIGH","P2","Day 42-56","-","-","-","Operations"
"","PACKAGING","Operations","Audit existing 1,100 PET bottles for damage","Before deploying existing PET inventory: inspect each bottle. Reject any with: scratches, deformity, poor neck finish (affects cap seal). Segregate into: usable (likely 95%+), reject.","Deploying a leaky bottle in the first 50 orders destroys early brand trust.","HIGH","P2","Day 35-42","-","-","-","Operations"
"","PACKAGING","Design","Commission 50ml travel size label and packaging","Once 100ml launch is stable (Day 180+): design 50ml variant. Same label design, smaller. Different carton proportion. Add to GS1 barcode list.","Travel size lowers trial barrier significantly. At Rs.349-399 it is also a gifting insert and exhibition sample upgrade.","MEDIUM","P6","Day 180-210","Rs.3000","Rs.5000","Rs.8000","Oodles"
"","PACKAGING","Operations","Photograph all packaging components for records","After final packaging versions are confirmed: photograph every component with ruler for scale. File in Google Drive: Svaas/Packaging/Approved Specs. Use as reference when reordering to ensure consistency.","When reordering in 6 months, having a photo reference prevents the vendor sending the wrong spec.","MEDIUM","P2","Day 63-70","-","-","-","Operations"
"","LEGAL","IP","Monitor trademark application status every 3 months","Log in to IP India portal quarterly. Check: application status (Formalities Check Pass / Examination Report issued / Opposition period / Accepted). If Examination Report issued: respond within 30 days (attorney handles).","Trademark applications require active monitoring. Many applications lapse because the applicant missed a step.","HIGH","ONGOING","Quarterly","-","Rs.1000","Rs.5000","Legal + Founder"
"","LEGAL","Contracts","Sign vendor agreements with key suppliers","For Tier 1 ingredient suppliers (coconut oil, EOs): get a simple purchase agreement signed. Covers: product specification, delivery timeline, quality guarantee, payment terms, batch documentation requirement.","A signed vendor agreement is leverage when quality issues arise.","MEDIUM","P2","Day 42-63","Rs.1000","Rs.2000","Rs.4000","Legal + Founder"
"","LEGAL","Contracts","Create standard terms and conditions for corporate gifting orders","Cover: order confirmation process, customisation options and lead time, payment (advance for new clients), delivery terms, force majeure, cancellation policy. Have CA review once. Use as template for all corporate orders.","Standard T&Cs prevent disputes before they arise. One professionally drafted T&C document protects all future corporate transactions.","MEDIUM","P5","Day 90-120","Rs.2000","Rs.3500","Rs.6000","Legal + CA"
"","LEGAL","Compliance","Research and comply with Legal Metrology Act for packaged goods","Any packaged commodity with a declared quantity must comply with Legal Metrology (Packaged Commodities) Rules 2011. Requirements: MRP including taxes, net quantity, manufacturer name and address, month and year of manufacture.","Your label already has most of these. Verify with a Legal Metrology consultant or CA that the label is fully compliant.","HIGH","P2","Day 35-49","Rs.1000","Rs.2000","Rs.3000","Regulatory + CA"
"","LEGAL","Compliance","Verify consumer protection compliance for D2C","Under Consumer Protection (E-Commerce) Rules 2020: website must display: seller name and address, GSTIN, contact for grievance redressal, return and refund policy. Verify Shopify store has all required disclosures.","Non-compliance with consumer protection rules is grounds for consumer complaints and penalties.","HIGH","P4","Day 56-77","-","-","-","Legal + Oodles"
"","BRAND","Website","Write compelling About Us page — first person founder voice","Current content is third-person. Rewrite in first person: 'I started Svaas on a Chennai afternoon when...' Include: specific founding moment, the problem you personally experienced, the solution you spent years developing, the all-women team reality, the Chennai connection. End with the mission.","First-person founder stories convert 2-3x better than corporate third-person copy. Authenticity is a competitive advantage.","HIGH","P4","Day 56-70","-","-","-","Founder + Oodles"
"","BRAND","Website","Create detailed FAQ page — 15 questions minimum","Questions to cover: Is it safe for colour-treated hair? How much to use (exact amount for different hair lengths)? How often? Can I use it daily? Does it work for men? What is the shelf life? How should I store it? Is it safe during pregnancy (consult doctor note)? Will it make my hair greasy? Why does it smell earthy? How soon will I see results?","Every FAQ answered is a conversion barrier removed. The FAQ page is the second most important page after the product page.","HIGH","P4","Day 56-77","-","-","-","Founder + Oodles"
"","BRAND","Social","Set up Instagram Story Highlights","Highlights: (1) Our Story (2) How To Use (3) 61 Ingredients (4) Behind The Scenes (5) Customer Love (6) Corporate Gifting. Design consistent covers for each highlight. Update weekly.","Instagram Highlights are the first thing a new profile visitor sees. They should answer: what is this brand, does it work, can I trust it.","HIGH","P4","Day 63-77","-","-","-","Oodles"
"","BRAND","Social","Set up Instagram Shopping (if eligible)","Connect Shopify product catalogue to Instagram Shopping. Tag products in feed posts. Allow direct in-app purchase journey.","Instagram Shopping reduces the steps from discovery to purchase. Set it up once, benefit continuously.","MEDIUM","P5","Day 90-120","-","-","-","Oodles"
"","BRAND","Social","Create Tamil language content (30% of posts)","Chennai's primary audience connects more deeply with Tamil content. Create: Tamil captions alongside English, Tamil names for ingredients in carousel posts, occasional all-Tamil posts for festivals (Pongal, Tamil New Year).","A brand born in Chennai that communicates only in English misses a massive connection opportunity with its home audience.","HIGH","P5","Day 90 onwards","-","-","-","Oodles + Founder"
"","OPERATIONS","Ongoing","Produce manufacturing batch plan every month on 25th","On 25th of each month: review upcoming month's orders forecast, current FG stock, minimum buffer requirement. Calculate: how many batches needed? On what dates? Which SKUs? Share with QP for sign-off scheduling.","Batch plan on 25th allows 5 days to source any missing ingredients before month-end and full month ahead for manufacturing.","HIGH","ONGOING","Monthly","-","-","-","Operations + Founder"
"","COMPLIANCE","Ongoing","Annual cosmetic licence renewal","Check renewal date in Compliance Master. Prepare renewal application 60 days before expiry. Submit with: current premises photos, updated equipment list, updated product list, QP confirmation letter.","Licences that lapse require a fresh application (not renewal). This is expensive and leaves a gap in legal manufacturing status.","CRITICAL","ONGOING","Annually","Rs.2000","Rs.3000","Rs.5000","QP + Regulatory"
"","MARKETING","Ongoing","Weekly Instagram Stories (daily if possible)","Stories: daily behind-the-scenes, ingredient of the week, customer reposts, product tips, polls and questions. Stories maintain daily presence without the pressure of perfect feed posts.","Stories have higher daily reach than feed posts for small accounts. Use them for consistency and community.","HIGH","ONGOING","Daily-Weekly","-","-","-","Oodles"
"","FINANCE","Ongoing","Weekly cash flow update every Monday","Every Monday morning: update the 13-week cash flow with: actual receipts from previous week, actual payments made, updated forecast for next 13 weeks. Flag to Founder if projected cash drops below Rs.50,000 floor at any week.","Weekly cash flow update is the single most important financial habit for a small business. It prevents surprises.","CRITICAL","ONGOING","Weekly","-","-","-","Finance + Founder"
"","CUSTOMER","Ongoing","Respond to every Instagram comment and DM within 4 hours","Every comment: a genuine response (not just an emoji). Every DM: a real answer within 4 hours during business hours. Set Instagram notification alerts on phone.","Response rate and response speed are now ranked signals for Instagram algorithmic reach. Beyond the algorithm: every response builds a relationship.","HIGH","ONGOING","Daily","-","-","-","Oodles + Founder"
"","OPERATIONS","Ongoing","Monthly physical inventory reconciliation","On the last day of each month: physical count of all FG units by SKU and batch. Compare to Shopify inventory count. Reconcile any discrepancy. Update Shopify inventory to match physical count.","Shopify inventory drifts over time due to manual errors and returns. Monthly physical count keeps it accurate.","HIGH","ONGOING","Monthly","-","-","-","Operations"
"","SUPPLY CHAIN","Ongoing","Monthly ingredient price tracking","On 1st of each month: record current price per kg for top 20 ingredients from vendor invoices. Compare to previous month. Flag any increase above 10% to Finance for COGS review.","Ingredient cost creep is the most common reason small brands discover their margins have quietly eroded.","MEDIUM","ONGOING","Monthly","-","-","-","Operations + Finance"
